2025-02-28 11:16:38 - INFO - Log file cleared: logs/audio_dataset.log
2025-02-28 11:16:38 - INFO - Application started - logs cleared
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_ai_optimized
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_ai_optimized
2025-02-28 11:16:39 - INFO - Found 1 audio files in audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_split
2025-02-28 11:16:39 - DEBUG - Directory already exists: audio_split/backup
2025-02-28 11:16:39 - INFO - Found 1 audio files in audio
2025-02-28 11:16:50 - INFO - Starting audio optimization process for file: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - INFO - Parameters - Chunk lengths: [10, 20, 30], Overlap lengths: [0, 3, 5], Max duration: 300
2025-02-28 11:16:50 - DEBUG - Directory already exists: audio
2025-02-28 11:16:50 - DEBUG - Directory already exists: audio_ai_optimized
2025-02-28 11:16:50 - DEBUG - Validating audio file path: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - DEBUG - File exists at specified path: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - INFO - Using audio file: audio/＂Maduro no va a tener el dinero limpio＂： Antonio de la Cruz_129.481kbps.wav
2025-02-28 11:16:50 - INFO - Audio loaded successfully - Duration: 708.98s, Channels: 2, Sample rate: 44100Hz, Bit depth: 16 bits
2025-02-28 11:16:50 - INFO - Trimming audio to first 300 seconds
2025-02-28 11:16:50 - INFO - Audio standardized to mono 16kHz 16-bit PCM
2025-02-28 11:16:50 - INFO - Processing 9 valid combinations (skipped 0 invalid combinations)
2025-02-28 11:16:50 - INFO - === COMBINATION 1/9 ===
2025-02-28 11:16:50 - INFO - Chunk length: 10s, Overlap length: 0s
2025-02-28 11:16:50 - INFO - Audio length: 300.00s, Calculated 31 chunks
2025-02-28 11:16:50 - DEBUG - Chunk 3/43: Base: 14.00s-24.00s, With padding: 11.00s-27.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 4/43: Base: 21.00s-31.00s, With padding: 18.00s-34.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 5/43: Base: 28.00s-38.00s, With padding: 25.00s-41.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 6/43: Base: 35.00s-45.00s, With padding: 32.00s-48.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 7/43: Base: 42.00s-52.00s, With padding: 39.00s-55.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 8/43: Base: 49.00s-59.00s, With padding: 46.00s-62.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 9/43: Base: 56.00s-66.00s, With padding: 53.00s-69.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 10/43: Base: 63.00s-73.00s, With padding: 60.00s-76.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 11/43: Base: 70.00s-80.00s, With padding: 67.00s-83.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 12/43: Base: 77.00s-87.00s, With padding: 74.00s-90.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 13/43: Base: 84.00s-94.00s, With padding: 81.00s-97.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 14/43: Base: 91.00s-101.00s, With padding: 88.00s-104.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 15/43: Base: 98.00s-108.00s, With padding: 95.00s-111.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 16/43: Base: 105.00s-115.00s, With padding: 102.00s-118.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 17/43: Base: 112.00s-122.00s, With padding: 109.00s-125.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 18/43: Base: 119.00s-129.00s, With padding: 116.00s-132.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 19/43: Base: 126.00s-136.00s, With padding: 123.00s-139.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 20/43: Base: 133.00s-143.00s, With padding: 130.00s-146.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 21/43: Base: 140.00s-150.00s, With padding: 137.00s-153.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 22/43: Base: 147.00s-157.00s, With padding: 144.00s-160.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 23/43: Base: 154.00s-164.00s, With padding: 151.00s-167.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 24/43: Base: 161.00s-171.00s, With padding: 158.00s-174.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 25/43: Base: 168.00s-178.00s, With padding: 165.00s-181.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 26/43: Base: 175.00s-185.00s, With padding: 172.00s-188.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 27/43: Base: 182.00s-192.00s, With padding: 179.00s-195.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 28/43: Base: 189.00s-199.00s, With padding: 186.00s-202.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 29/43: Base: 196.00s-206.00s, With padding: 193.00s-209.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 30/43: Base: 203.00s-213.00s, With padding: 200.00s-216.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 31/43: Base: 210.00s-220.00s, With padding: 207.00s-223.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 32/43: Base: 217.00s-227.00s, With padding: 214.00s-230.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 33/43: Base: 224.00s-234.00s, With padding: 221.00s-237.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 34/43: Base: 231.00s-241.00s, With padding: 228.00s-244.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 35/43: Base: 238.00s-248.00s, With padding: 235.00s-251.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 36/43: Base: 245.00s-255.00s, With padding: 242.00s-258.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 37/43: Base: 252.00s-262.00s, With padding: 249.00s-265.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 38/43: Base: 259.00s-269.00s, With padding: 256.00s-272.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 39/43: Base: 266.00s-276.00s, With padding: 263.00s-279.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 40/43: Base: 273.00s-283.00s, With padding: 270.00s-286.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 41/43: Base: 280.00s-290.00s, With padding: 277.00s-293.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 42/43: Base: 287.00s-297.00s, With padding: 284.00s-300.00s (Padding before: 3.00s, after: 3.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 43/43: Base: 294.00s-300.00s, With padding: 291.00s-300.00s (Padding before: 3.00s, after: 0.00s)
2025-02-28 11:16:50 - INFO - Successfully created 43 chunk files for combination: chunk10s_overlap3s
2025-02-28 11:16:50 - INFO - === COMBINATION 3/9 ===
2025-02-28 11:16:50 - INFO - Chunk length: 10s, Overlap length: 5s
2025-02-28 11:16:50 - INFO - Audio length: 300.00s, Calculated 60 chunks
2025-02-28 11:16:50 - DEBUG - Chunk 1/60: Base: 0.00s-10.00s, With padding: 0.00s-15.00s (Padding before: 0.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 2/60: Base: 5.00s-15.00s, With padding: 0.00s-20.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 3/60: Base: 10.00s-20.00s, With padding: 5.00s-25.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 4/60: Base: 15.00s-25.00s, With padding: 10.00s-30.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 5/60: Base: 20.00s-30.00s, With padding: 15.00s-35.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 6/60: Base: 25.00s-35.00s, With padding: 20.00s-40.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 7/60: Base: 30.00s-40.00s, With padding: 25.00s-45.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 8/60: Base: 35.00s-45.00s, With padding: 30.00s-50.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 9/60: Base: 40.00s-50.00s, With padding: 35.00s-55.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 10/60: Base: 45.00s-55.00s, With padding: 40.00s-60.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 11/60: Base: 50.00s-60.00s, With padding: 45.00s-65.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 12/60: Base: 55.00s-65.00s, With padding: 50.00s-70.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 13/60: Base: 60.00s-70.00s, With padding: 55.00s-75.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 14/60: Base: 65.00s-75.00s, With padding: 60.00s-80.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 15/60: Base: 70.00s-80.00s, With padding: 65.00s-85.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 16/60: Base: 75.00s-85.00s, With padding: 70.00s-90.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 17/60: Base: 80.00s-90.00s, With padding: 75.00s-95.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 18/60: Base: 85.00s-95.00s, With padding: 80.00s-100.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 19/60: Base: 90.00s-100.00s, With padding: 85.00s-105.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 20/60: Base: 95.00s-105.00s, With padding: 90.00s-110.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 21/60: Base: 100.00s-110.00s, With padding: 95.00s-115.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 22/60: Base: 105.00s-115.00s, With padding: 100.00s-120.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 23/60: Base: 110.00s-120.00s, With padding: 105.00s-125.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 24/60: Base: 115.00s-125.00s, With padding: 110.00s-130.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 25/60: Base: 120.00s-130.00s, With padding: 115.00s-135.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 26/60: Base: 125.00s-135.00s, With padding: 120.00s-140.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 27/60: Base: 130.00s-140.00s, With padding: 125.00s-145.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 28/60: Base: 135.00s-145.00s, With padding: 130.00s-150.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 29/60: Base: 140.00s-150.00s, With padding: 135.00s-155.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 30/60: Base: 145.00s-155.00s, With padding: 140.00s-160.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 31/60: Base: 150.00s-160.00s, With padding: 145.00s-165.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 32/60: Base: 155.00s-165.00s, With padding: 150.00s-170.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 33/60: Base: 160.00s-170.00s, With padding: 155.00s-175.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 34/60: Base: 165.00s-175.00s, With padding: 160.00s-180.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 35/60: Base: 170.00s-180.00s, With padding: 165.00s-185.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 36/60: Base: 175.00s-185.00s, With padding: 170.00s-190.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 37/60: Base: 180.00s-190.00s, With padding: 175.00s-195.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 38/60: Base: 185.00s-195.00s, With padding: 180.00s-200.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 39/60: Base: 190.00s-200.00s, With padding: 185.00s-205.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 40/60: Base: 195.00s-205.00s, With padding: 190.00s-210.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 41/60: Base: 200.00s-210.00s, With padding: 195.00s-215.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 42/60: Base: 205.00s-215.00s, With padding: 200.00s-220.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 43/60: Base: 210.00s-220.00s, With padding: 205.00s-225.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 44/60: Base: 215.00s-225.00s, With padding: 210.00s-230.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 45/60: Base: 220.00s-230.00s, With padding: 215.00s-235.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 46/60: Base: 225.00s-235.00s, With padding: 220.00s-240.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 47/60: Base: 230.00s-240.00s, With padding: 225.00s-245.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 48/60: Base: 235.00s-245.00s, With padding: 230.00s-250.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 49/60: Base: 240.00s-250.00s, With padding: 235.00s-255.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 50/60: Base: 245.00s-255.00s, With padding: 240.00s-260.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 51/60: Base: 250.00s-260.00s, With padding: 245.00s-265.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 52/60: Base: 255.00s-265.00s, With padding: 250.00s-270.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 53/60: Base: 260.00s-270.00s, With padding: 255.00s-275.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 54/60: Base: 265.00s-275.00s, With padding: 260.00s-280.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 55/60: Base: 270.00s-280.00s, With padding: 265.00s-285.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 56/60: Base: 275.00s-285.00s, With padding: 270.00s-290.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 57/60: Base: 280.00s-290.00s, With padding: 275.00s-295.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 58/60: Base: 285.00s-295.00s, With padding: 280.00s-300.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 59/60: Base: 290.00s-300.00s, With padding: 285.00s-300.00s (Padding before: 5.00s, after: 5.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 60/60: Base: 295.00s-300.00s, With padding: 290.00s-300.00s (Padding before: 5.00s, after: 0.00s)
2025-02-28 11:16:50 - INFO - Successfully created 60 chunk files for combination: chunk10s_overlap5s
2025-02-28 11:16:50 - INFO - === COMBINATION 4/9 ===
2025-02-28 11:16:50 - INFO - Chunk length: 20s, Overlap length: 0s
2025-02-28 11:16:50 - INFO - Audio length: 300.00s, Calculated 16 chunks
2025-02-28 11:16:50 - DEBUG - Chunk 1/16: Base: 0.00s-20.00s, With padding: 0.00s-20.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 2/16: Base: 20.00s-40.00s, With padding: 20.00s-40.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 3/16: Base: 40.00s-60.00s, With padding: 40.00s-60.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 4/16: Base: 60.00s-80.00s, With padding: 60.00s-80.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 5/16: Base: 80.00s-100.00s, With padding: 80.00s-100.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 6/16: Base: 100.00s-120.00s, With padding: 100.00s-120.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 7/16: Base: 120.00s-140.00s, With padding: 120.00s-140.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 8/16: Base: 140.00s-160.00s, With padding: 140.00s-160.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 9/16: Base: 160.00s-180.00s, With padding: 160.00s-180.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 10/16: Base: 180.00s-200.00s, With padding: 180.00s-200.00s (Padding before: 0.00s, after: 0.00s)
2025-02-28 11:16:50 - DEBUG - Chunk 11/16: Base: 200.00s-220.00s, With padding: 200.00s-220.00s (Padding before: 0.00s, after: 0.00s)
